,feat_question_difficulty,feat_total_attempts,feat_overall_accuracy,feat_listening_accuracy,feat_reading_accuracy,feat_current_part_accuracy,feat_recent_accuracy,feat_answer_changes,feat_adaptive_ratio,feat_explanation_ratio,feat_lecture_watches,feat_session_fatigue
feat_question_difficulty,1.0,-0.021005600872541365,-0.03505247989900054,-0.0708869453235144,0.017454481181958068,-0.12410089302840521,-0.08916084836244045,0.043229388875370006,-0.06469992634158457,-0.09673410523551852,-0.046754878824417395,-0.06592493600260908
feat_total_attempts,-0.021005600872541365,1.0,-0.01164919869993647,0.07917506497886016,-0.006547326984046394,-0.023564681048882076,0.00021869909623594132,0.09022141891605831,0.14068466284056222,-0.04820940544551246,0.4422109351547406,0.33415611190642636
feat_overall_accuracy,-0.03505247989900054,-0.01164919869993647,1.0,0.48650165112733046,0.8445537380566931,0.7768089405691905,0.4838210487931797,-0.11361887427424695,0.09547296364184754,0.30455772360982875,0.04347028421969937,0.05234628004532807
feat_listening_accuracy,-0.0708869453235144,0.07917506497886016,0.48650165112733046,1.0,0.26857962487219206,0.3523279818192932,0.23558903712863238,-0.05994661587777114,0.1470326080890297,0.321443092959756,0.10062945157079561,0.11510373875248348
feat_reading_accuracy,0.017454481181958068,-0.006547326984046394,0.8445537380566931,0.26857962487219206,1.0,0.6518885622203562,0.40842342219080474,-0.0666455935946133,0.0696930417617033,0.22041724616863803,0.041634888675690165,0.010526696283956907
feat_current_part_accuracy,-0.12410089302840521,-0.023564681048882076,0.7768089405691905,0.3523279818192932,0.6518885622203562,1.0,0.46141692679591173,-0.10052629167186751,0.04987898549963985,0.21653070522197315,0.018882248051517902,0.035533556165217854
feat_recent_accuracy,-0.08916084836244045,0.00021869909623594132,0.4838210487931797,0.23558903712863238,0.40842342219080474,0.46141692679591173,1.0,-0.062723404122667,0.036288152714013255,0.12903771370043762,0.010968882665298836,0.021399888694210747
feat_answer_changes,0.043229388875370006,0.09022141891605831,-0.11361887427424695,-0.05994661587777114,-0.0666455935946133,-0.10052629167186751,-0.062723404122667,1.0,-0.036431535662367884,-0.07902133628834779,0.01614045809445774,0.2930908032806712
feat_adaptive_ratio,-0.06469992634158457,0.14068466284056222,0.09547296364184754,0.1470326080890297,0.0696930417617033,0.04987898549963985,0.036288152714013255,-0.036431535662367884,1.0,0.28120257980340574,0.2838224937273758,0.08290628820926677
feat_explanation_ratio,-0.09673410523551852,-0.04820940544551246,0.30455772360982875,0.321443092959756,0.22041724616863803,0.21653070522197315,0.12903771370043762,-0.07902133628834779,0.28120257980340574,1.0,0.0537395471943128,0.05053208962844286
feat_lecture_watches,-0.046754878824417395,0.4422109351547406,0.04347028421969937,0.10062945157079561,0.041634888675690165,0.018882248051517902,0.010968882665298836,0.01614045809445774,0.2838224937273758,0.0537395471943128,1.0,0.1172752499404802
feat_session_fatigue,-0.06592493600260908,0.33415611190642636,0.05234628004532807,0.11510373875248348,0.010526696283956907,0.035533556165217854,0.021399888694210747,0.2930908032806712,0.08290628820926677,0.05053208962844286,0.1172752499404802,1.0
